Museum,MuseumCat,Subspecies,Island,CPL,CIL,UTL,MTL,PPL,MB,LIB,ZB,BB,LPL,CNL,PBPL,LCH,MH,MCH,MCW,MCIL,LTL,Sex,Type
BMNH,10.4171,continentis,Malay Peninsula,36.84,35.77,17.35,12.53,18.92,15.65,8.27,22.2,14.7,38.03,36.16,22.5,9.05,12.27,6.79,2.88,26.45,15.89,m,Holotype
BMNH,61.1154,continentis,Malay Peninsula,35.87,35.13,17.13,12.22,18.22,15.57,8.27,22,14.91,37.07,34.83,21.44,8.92,11.16,5.98,2.48,25.39,,m,
BMNH,61.1155,continentis,Malay Peninsula,35.31,34.54,16.64,12.44,17.32,15.35,7.57,,14.07,36.57,35.19,20.77,8.67,11.48,6.47,2.57,26.01,15.74,f,
BMNH,67.1479,continentis,Malay Peninsula,36.98,36.15,17.86,12.91,18.87,15.79,8.4,22.08,15.16,,37.02,22.46,,11.66,6.44,2.92,27.17,16.48,f,
BMNH,1960.846,continentis,Malay Peninsula,36.19,35.35,17.1,12.62,17.92,15.13,8.12,21.35,14.7,37.65,35.84,22.07,8.72,11.42,6.46,2.45,26.13,15.69,unknown,
MCZ,51736,continentis,Malay Peninsula,36.44,35.85,17.22,12.42,18.31,15.18,8.2,22.35,,37.31,35.76,21.74,8.43,11.82,6.28,2.92,26.33,15.72,f,
USNM,112611,continentis,Malay Peninsula,35.81,35.28,17.31,12.6,17.92,15.04,8.1,22,14.25,36.97,35.06,21.84,8.46,11.67,6.59,2.84,26.12,15.77,m,
USNM,291272,continentis,Malay Peninsula,36.6,,,12.38,18.52,15.51,8.34,21.72,15.04,37.63,36.03,22.13,8.62,12.06,6.67,2.63,,,unknown,
USNM,481102,continentis,Malay Peninsula,38.14,37.4,18.28,12.85,19.39,15.4,8.26,22.44,14.37,39.07,37.46,22.97,8.87,12.1,6.3,2.7,27.76,16.81,f,
USNM,481103,continentis,Malay Peninsula,36.28,35.35,17.08,12.51,18.2,14.97,7.6,20.75,14.37,37.34,35.92,21.95,8.29,11.66,6.39,2.39,26.52,16.14,f,
USNM,481104,continentis,Malay Peninsula,36.44,35.71,17.42,12.95,17.97,15.32,8.13,21.59,14.49,37.65,36.06,21.78,8.6,11.08,6.31,2.36,26.25,16.18,f,
USNM,481105,continentis,Malay Peninsula,36.5,35.62,17.49,12.71,18.7,15.94,8.23,22.19,15.07,37.56,36.52,22.19,8.32,11.59,6.73,2.67,26.49,16.07,m,
USNM,481108,continentis,Malay Peninsula,35.86,35.16,17.36,12.45,18.21,15.16,8.02,21.22,14.66,37.07,35.98,21.89,8.97,11.32,6.29,2.62,26.16,16.03,m,
USNM,488052,continentis,Malay Peninsula,35.89,35.27,17.25,12.54,18.06,15.17,7.89,21.45,14.69,37.03,35.59,21.68,8.43,11.37,6.35,2.63,26.16,15.96,f,
USNM,488053,continentis,Malay Peninsula,37.39,36.89,17.99,12.76,18.05,15.62,8.67,22.09,13.97,38.41,36.93,22,8.73,11.79,6.63,2.77,27.13,16.33,m,
